Time to Measuement/s,Mass/g
2820,9.1
5700,12.33
11586,4.24
14370,3.8
20106,12.93
26190,1.61
40212,5.83
49332,4.51
56424,2.36
58164,2.98
60894,4.44
63594,4.99
70206,12.74
76182,2.33
83418,4.61
85884,0.75
94584,2.74
101880,2.16
110862,2.2
116658,0.87
122220,0.39
132066,0.42
141702,0.29
150186,0.38
161430,0.32
